"date","main_gas","oak_gas","main_ele","oak_ele","oat_hull","pellet_coal","pellet","gas_the","pellet_per","pellet_the","hull_the","coal_the","coal_co2","pellet_co2","gas_co2","hull_co2","gas_n20","pellet_n20","hull_n20","coal_n20","coal_ch4","gas_ch4","pellet_ch4","hull_ch4","ele_co2","ele_ch4","ele_n20"
2021-08-11,1155.38781738077,612.546468401487,1220.42700126645,33.0891146398517,462.305093785221,143.054450985492,201.002946937088,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-12,954.531087126958,553.717472118959,1142.12742903068,34.6433475284636,456.851523515166,134.576119923292,200.451828562411,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-13,211.294722403283,508.736059479554,1041.43671342313,27.3958539087947,338.495845874361,155.329015229367,189.998208473727,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-14,1186.59693944188,313.104089219331,921.56719611559,39.3515263785564,10.0191139678644,227.609279118745,190.975107947086,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-15,1180.18746315165,335.315985130112,922.645593552571,46.1212283401526,0,232.917644364723,187.990992592391,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-16,867.248929285246,526.022304832714,1055.19666339579,33.9600950266327,132.468374008055,203.804492122437,183.975796967618,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-17,22.0866273373444,513.475836431227,1144.70824329994,31.9500462014801,401.357615847324,142.002202676998,184.300400573577,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-18,11.4346825045053,499.814126394052,1153.68173863672,35.7233883321158,410.057548517961,155.521537428928,191.280070488162,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-19,881.173999473779,523.791821561338,1166.58732935446,38.5460500773179,408.441620102378,144.404381426145,186.787147796032,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-20,1464.47539225933,514.498141263941,1182.21764796005,40.7051024254237,323.870300155272,173.981317188164,187.821735258291,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-21,2065.22531510777,317.657992565056,1035.63572802126,44.3116171067526,12.2004389382135,245.304512914069,205.495742477916,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-22,1071.36369073018,234.665427509294,960.238618433382,50.2193632413379,0,244.59274872405,193.04582633065,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-23,1403.96939101942,519.702602230483,1200.20819890712,43.5945167970822,276.932128649383,186.653783014864,204.113106018794,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-24,2067.36139104153,532.527881040892,1230.16272009003,37.4722037828552,457.755070505644,138.846915084347,108.161074297942,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-25,3076.00929450299,514.498141263941,1177.33560679328,37.6954303301447,447.299243418011,139.364857854713,0.220321705821334,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-26,3271.12062307881,527.044609665428,1228.40061871342,40.0316133723787,360.331376798381,182.188033279843,0.215947614090486,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
2021-08-27,3797.4779331609,501.208178438662,1247.38185853937,42.4449087920666,17.7633128108756,237.080040648299,102.012924208716,0.001076,0.14,20.89375,8.25,24.93,93.28,99.82275,53.06,118.17,0.1,4.2,4.2,1.6,11,1,32,32,611.1,0.06,0.009
